code	name	population
03102	Pego	10133
03103	Penàguila	269
03104	Petrer	34241
03105	Pinós, el/Pinoso	8025
03106	Planes	682
03107	Polop	5064
03109	Rafal	4553
03110	Ràfol d'Almúnia, el	648
03111	Redován	7926
03112	Relleu	1148
03113	Rojales	16671
03114	Romana, la	2492
03115	Sagra	426
03116	Salinas	1620
03117	Sanet y Negrals	690
03118	San Fulgencio	8071
03119	Sant Joan d'Alacant	24367
03120	San Miguel de Salinas	6313
03121	Santa Pola	33303
03122	San Vicente del Raspeig/Sant Vicent del Raspeig	58978
03123	Sax	9859
03124	Sella	577
03125	Senija	583
03127	Tàrbena	623
03128	Teulada	11278
03129	Tibi	1662
03130	Tollos	35
03131	Tormos	318
03132	Torremanzanas/Torre de les Maçanes, la	636
03133	Torrevieja	84667
03134	Vall d'Alcalà, la	160
03135	Vall d'Ebo, la	218
03136	Vall de Gallinera	527
03137	Vall de Laguar, la	827
03138	Verger, el	4709
03139	Villajoyosa/Vila Joiosa, la	35199
03140	Villena	34155
03901	Poblets, els	2714
03902	Pilar de la Horadada	22347
03903	Montesinos, Los	5061
03904	San Isidro	2103
04001	Abla	1248
04002	Abrucena	1183
04003	Adra	25412
04004	Albanchez	687
04005	Alboloduy	609
04006	Albox	12083
04007	Alcolea	844
04008	Alcóntar	514
04009	Alcudia de Monteagud	138
04010	Alhabia	677
04011	Alhama de Almería	3691
04012	Alicún	201
04013	Almería	201322
04014	Almócita	176
04015	Alsodux	125
04016	Antas	3315
04017	Arboleas	4624
04018	Armuña de Almanzora	300
04019	Bacares	250
04020	Bayárcal	312
04021	Bayarque	216
04022	Bédar	984
04023	Beires	120
04024	Benahadux	4481
04026	Benitagla	58
04027	Benizalón	262
04028	Bentarique	240
04029	Berja	12563
04030	Canjáyar	1189
04031	Cantoria	3365
04032	Carboneras	8105
04033	Castro de Filabres	120
04034	Cóbdar	178
04035	Cuevas del Almanzora	14455
04036	Chercos	298
04037	Chirivel	1489
04038	Dalías	4066
04041	Enix	514
04043	Felix	636
04044	Fines	2104
04045	Fiñana	1984
04046	Fondón	994
04047	Gádor	3034
04048	Gallardos, Los	2902
04049	Garrucha	9520
04050	Gérgal	1080
04051	Huécija	486
04052	Huércal de Almería	17917
04053	Huércal-Overa	19432
04054	Íllar	405
04055	Instinción	448
04056	Laroya	198
04057	Láujar de Andarax	1527
04058	Líjar	394
